pollutant,horizon_h,feature,importance
C6H6(GT),1,CO(GT)_lag24,0.0017951684236592982
C6H6(GT),1,C6H6(GT)_lag1,0.006949659212894722
C6H6(GT),1,C6H6(GT)_lag6,0.0011849489452775816
C6H6(GT),1,C6H6(GT)_lag12,0.004416364842392592
C6H6(GT),1,C6H6(GT)_lag24,0.001034420791359111
C6H6(GT),1,NOx(GT)_lag1,0.00208504537954858
C6H6(GT),1,NOx(GT)_lag6,0.002889465734608756
C6H6(GT),1,NOx(GT)_lag12,0.0017839277783207124
C6H6(GT),1,NOx(GT)_lag24,0.0019295723675046563
C6H6(GT),1,NO2(GT)_lag1,0.0021575534334820046
C6H6(GT),1,NO2(GT)_lag6,0.002200672130963302
C6H6(GT),1,NO2(GT)_lag12,0.003001760015538522
C6H6(GT),1,NO2(GT)_lag24,0.002031012340380032
C6H6(GT),1,PT08.S1(CO)_lag1,0.002775086113931177
C6H6(GT),1,PT08.S1(CO)_lag6,0.0026288634784629584
C6H6(GT),1,PT08.S1(CO)_lag12,0.004390392978650455
C6H6(GT),1,PT08.S1(CO)_lag24,0.0021050768346699655
C6H6(GT),1,PT08.S2(NMHC)_lag1,0.009672759051259049
C6H6(GT),1,PT08.S2(NMHC)_lag6,0.0012625086049918345
C6H6(GT),1,PT08.S2(NMHC)_lag12,0.005832650583955399
C6H6(GT),1,PT08.S2(NMHC)_lag24,0.001464325365173562
C6H6(GT),1,PT08.S3(NOx)_lag1,0.002929769289902976
C6H6(GT),1,PT08.S3(NOx)_lag6,0.002387810215875315
C6H6(GT),1,PT08.S3(NOx)_lag12,0.002582633831012826
C6H6(GT),1,PT08.S3(NOx)_lag24,0.0019948954442116536
C6H6(GT),1,PT08.S4(NO2)_lag1,0.006042155456777635
C6H6(GT),1,PT08.S4(NO2)_lag6,0.0023562423603476195
C6H6(GT),1,PT08.S4(NO2)_lag12,0.004806411430371414
C6H6(GT),1,PT08.S4(NO2)_lag24,0.0020626585445848744
C6H6(GT),1,PT08.S5(O3)_lag1,0.002539042077541795
C6H6(GT),1,PT08.S5(O3)_lag6,0.010372666135680289
C6H6(GT),1,PT08.S5(O3)_lag12,0.003189814738764355
C6H6(GT),1,PT08.S5(O3)_lag24,0.0017652586000351362
C6H6(GT),1,CO(GT)_roll_mean_6h,0.002282122331573747
C6H6(GT),1,CO(GT)_roll_std_6h,0.0023240795790071597
C6H6(GT),1,CO(GT)_roll_mean_24h,0.002130799607223471
C6H6(GT),1,CO(GT)_roll_std_24h,0.0019127064519633534
C6H6(GT),1,C6H6(GT)_roll_mean_6h,0.005208036348104032
C6H6(GT),1,C6H6(GT)_roll_std_6h,0.005537606189646288
C6H6(GT),1,C6H6(GT)_roll_mean_24h,0.0036418585793885046
C6H6(GT),1,C6H6(GT)_roll_std_24h,0.0046227989401108035
C6H6(GT),1,NOx(GT)_roll_mean_6h,0.0021195720688092653
C6H6(GT),1,NOx(GT)_roll_std_6h,0.0025387692075753295
C6H6(GT),1,NOx(GT)_roll_mean_24h,0.002026317392438772
C6H6(GT),1,NOx(GT)_roll_std_24h,0.0017233882419230133
C6H6(GT),1,NO2(GT)_roll_mean_6h,0.0018707771198789725
C6H6(GT),1,NO2(GT)_roll_std_6h,0.0030732222211048345
C6H6(GT),1,NO2(GT)_roll_mean_24h,0.002286724827465016
C6H6(GT),1,NO2(GT)_roll_std_24h,0.0018922758209520614
NOx(GT),1,PT08.S1(CO),0.020432427562904143
NOx(GT),1,PT08.S2(NMHC),0.023105489408311437
NOx(GT),1,PT08.S3(NOx),0.009423122172412627
NOx(GT),1,PT08.S4(NO2),0.0025554134413795643
NOx(GT),1,PT08.S5(O3),0.013278869233235851
NOx(GT),1,T,0.005910317420606133
NOx(GT),1,RH,0.0036624081042571158
NOx(GT),1,AH,0.004615122267777827
NOx(GT),1,Hour,0.0034775838175609953
NOx(GT),1,Day,0.0007380019725029244
NOx(GT),1,Month,0.002374388623970918
NOx(GT),1,hour,0.003109259123401454
NOx(GT),1,dayofweek,0.0007726124829817659
NOx(GT),1,month,0.0023329647823674598
NOx(GT),1,is_weekend,0.0005193055158959318
NOx(GT),1,hour_sin,0.015922571305497794
NOx(GT),1,hour_cos,0.019776538203155312
