pollutant,horizon_h,feature,importance
C6H6(GT),1,CO(GT)_lag24,0.0015775973241920673
C6H6(GT),1,C6H6(GT)_lag1,0.006015571979422598
C6H6(GT),1,C6H6(GT)_lag6,0.0010533783119691675
C6H6(GT),1,C6H6(GT)_lag12,0.0040151352155342645
C6H6(GT),1,C6H6(GT)_lag24,0.0010374868434884917
C6H6(GT),1,NOx(GT)_lag1,0.0016679524234760514
C6H6(GT),1,NOx(GT)_lag6,0.002542397355879326
C6H6(GT),1,NOx(GT)_lag12,0.0014583003680847721
C6H6(GT),1,NOx(GT)_lag24,0.0016116241626370016
C6H6(GT),1,NO2(GT)_lag1,0.0016820000999574207
C6H6(GT),1,NO2(GT)_lag6,0.0019749067054194084
C6H6(GT),1,NO2(GT)_lag12,0.0028497244160728
C6H6(GT),1,NO2(GT)_lag24,0.001792965191647142
C6H6(GT),1,PT08.S1(CO)_lag1,0.0026070236165698806
C6H6(GT),1,PT08.S1(CO)_lag6,0.002418962776589307
C6H6(GT),1,PT08.S1(CO)_lag12,0.004244355180975082
C6H6(GT),1,PT08.S1(CO)_lag24,0.0018532933110452757
C6H6(GT),1,PT08.S2(NMHC)_lag1,0.010505422910601268
C6H6(GT),1,PT08.S2(NMHC)_lag6,0.0011918543020175395
C6H6(GT),1,PT08.S2(NMHC)_lag12,0.006441441387956134
C6H6(GT),1,PT08.S2(NMHC)_lag24,0.0013146534516775565
C6H6(GT),1,PT08.S3(NOx)_lag1,0.0026653735878778683
C6H6(GT),1,PT08.S3(NOx)_lag6,0.002162838891249356
C6H6(GT),1,PT08.S3(NOx)_lag12,0.0025301014268976196
C6H6(GT),1,PT08.S3(NOx)_lag24,0.0018452122346271013
C6H6(GT),1,PT08.S4(NO2)_lag1,0.005504659650631231
C6H6(GT),1,PT08.S4(NO2)_lag6,0.0021052245421540653
C6H6(GT),1,PT08.S4(NO2)_lag12,0.004423960400675762
C6H6(GT),1,PT08.S4(NO2)_lag24,0.0018970797092381466
C6H6(GT),1,PT08.S5(O3)_lag1,0.00244236690556079
C6H6(GT),1,PT08.S5(O3)_lag6,0.010300554498885566
C6H6(GT),1,PT08.S5(O3)_lag12,0.0030709601804279206
C6H6(GT),1,PT08.S5(O3)_lag24,0.0016472403337211914
C6H6(GT),1,CO(GT)_roll_mean_6h,0.0019534541760461133
C6H6(GT),1,CO(GT)_roll_std_6h,0.0021000404127883513
C6H6(GT),1,CO(GT)_roll_mean_24h,0.0019855628877437953
